pair,interval,open,high,low,close,volume_coin_1,volume_coin_2,open_time,close_time
BTCBUSD,15m,28961.73,29051.37,28731.25,28792.88,197.571235,5710405.65968129,1609459200000,1609460099999
BTCBUSD,15m,28797.71,28917.55,28767.99,28876.1,98.273263,2835116.46584113,1609460100000,1609460999999
BTCBUSD,15m,28876.11,28993.09,28876.11,28970.84,126.521607,3662765.58597204,1609461000000,1609461899999
BTCBUSD,15m,28973.82,29073.65,28934.01,29040.44,80.590303,2337877.37490562,1609461900000,1609462799999
BTCBUSD,15m,29042.43,29444.0,29006.41,29440.95,436.450943,12777248.86126019,1609462800000,1609463699999
BTCBUSD,15m,29440.95,29471.05,29288.37,29435.47,365.604273,10742087.02695208,1609463700000,1609464599999
BTCBUSD,15m,29435.46,29526.0,29368.15,29375.11,207.675345,6115204.28727655,1609464600000,1609465499999
BTCBUSD,15m,29374.3,29479.65,29363.65,29458.58,105.630749,3107691.95032957,1609465500000,1609466399999
BTCBUSD,15m,29459.53,29511.32,29257.44,29299.41,160.13809,4708297.874848,1609466400000,1609467299999
BTCBUSD,15m,29295.82,29436.7,29295.82,29353.09,105.410491,3095839.48073335,1609467300000,1609468199999
BTCBUSD,15m,29353.08,29353.08,29175.01,29321.66,138.607081,4056962.12504612,1609468200000,1609469099999
BTCBUSD,15m,29318.31,29392.97,29206.35,29245.4,99.792362,2923059.02135549,1609469100000,1609469999999
BTCBUSD,15m,29247.55,29341.09,29247.55,29318.61,71.873339,2106166.88344435,1609470000000,1609470899999
BTCBUSD,15m,29318.6,29363.6,29201.65,29268.64,94.1704,2758392.96205073,1609470900000,1609471799999
BTCBUSD,15m,29267.92,29400.0,29243.54,29329.74,98.439669,2886659.25526114,1609471800000,1609472699999
BTCBUSD,15m,29329.75,29372.79,29292.36,29331.51,67.018537,1965938.41626703,1609472700000,1609473599999
BTCBUSD,15m,29331.51,29397.52,29331.51,29342.4,89.408967,2625318.23857988,1609473600000,1609474499999
BTCBUSD,15m,29342.1,29441.45,29342.1,29384.1,95.49125,2808094.67244379,1609474500000,1609475399999
BTCBUSD,15m,29384.11,29423.11,29110.54,29221.96,197.952773,5790228.34809668,1609475400000,1609476299999
