pair,interval,open,high,low,close,volume_coin_1,volume_coin_2,open_time,close_time
FORTHBUSD,15m,35.49,48.0,35.49,39.02,13590.12,539927.369691,1619168400000,1619169299999
FORTHBUSD,15m,39.784,39.784,36.33,36.978,5618.736,206540.227824,1619169300000,1619170199999
FORTHBUSD,15m,37.149,37.874,33.201,34.223,2059.56,74311.875057,1619170200000,1619171099999
FORTHBUSD,15m,33.798,35.462,33.516,34.708,891.3,31318.056391,1619171100000,1619171999999
FORTHBUSD,15m,34.707,39.0,34.048,34.65,2405.334,84579.067516,1619172000000,1619172899999
FORTHBUSD,15m,34.74,37.374,34.42,36.514,545.134,19315.962978,1619172900000,1619173799999
FORTHBUSD,15m,36.222,36.255,34.465,34.92,506.105,17781.457238,1619173800000,1619174699999
FORTHBUSD,15m,34.752,35.399,33.446,33.446,988.572,34022.173913,1619174700000,1619175599999
FORTHBUSD,15m,33.78,35.999,33.24,35.998,492.512,16732.604547,1619175600000,1619176499999
FORTHBUSD,15m,35.675,38.99,35.293,36.042,616.775,22984.531441,1619176500000,1619177399999
FORTHBUSD,15m,36.142,38.067,35.777,36.735,343.085,12548.797783,1619177400000,1619178299999
FORTHBUSD,15m,36.79,41.799,34.517,40.894,1341.277,52914.938086,1619178300000,1619179199999
FORTHBUSD,15m,40.91,40.91,36.507,38.409,3641.673,146135.852032,1619179200000,1619180099999
FORTHBUSD,15m,38.434,40.894,36.502,37.441,382.853,14678.848567,1619180100000,1619180999999
FORTHBUSD,15m,37.443,38.133,36.116,37.386,338.738,12392.913007,1619181000000,1619181899999
FORTHBUSD,15m,37.017,40.894,36.874,38.874,455.748,17673.025612,1619181900000,1619182799999
FORTHBUSD,15m,38.485,38.965,37.06,37.06,201.823,7637.158111,1619182800000,1619183699999
FORTHBUSD,15m,37.365,38.666,36.98,37.906,671.772,25215.109322,1619183700000,1619184599999
FORTHBUSD,15m,37.904,38.306,36.6,36.6,578.879,21406.757532,1619184600000,1619185499999
FORTHBUSD,15m,36.6,36.6,35.623,36.346,933.477,33650.538029,1619185500000,1619186399999
FORTHBUSD,15m,36.301,37.038,35.55,35.653,189.824,6867.046237,1619186400000,1619187299999
FORTHBUSD,15m,35.7,36.661,35.55,36.05,154.209,5510.356521,1619187300000,1619188199999
FORTHBUSD,15m,36.06,37.165,35.94,37.165,68.643,2501.784824,1619188200000,1619189099999
FORTHBUSD,15m,37.105,38.167,36.759,37.998,224.31,8353.35448,1619189100000,1619189999999
FORTHBUSD,15m,37.654,38.841,36.597,38.841,321.009,12192.465401,1619190000000,1619190899999
FORTHBUSD,15m,38.9,44.0,38.075,39.586,1921.296,79255.359643,1619190900000,1619191799999
FORTHBUSD,15m,39.587,43.443,38.0,38.581,496.406,19737.739456,1619191800000,1619192699999
FORTHBUSD,15m,38.582,44.68,37.5,38.552,1169.886,48799.782304,1619192700000,1619193599999
FORTHBUSD,15m,38.205,41.0,37.5,39.939,1481.073,58974.5715,1619193600000,1619194499999
FORTHBUSD,15m,40.349,40.684,38.618,39.644,447.892,17588.32706,1619194500000,1619195399999
FORTHBUSD,15m,39.193,42.378,38.5,41.865,505.597,20472.941935,1619195400000,1619196299999
FORTHBUSD,15m,41.779,46.0,40.012,45.996,1180.91,51535.884288,1619196300000,1619197199999
FORTHBUSD,15m,45.693,59.525,45.583,50.361,14308.276,753949.432103,1619197200000,1619198099999
FORTHBUSD,15m,50.362,54.49,47.203,47.417,3861.013,199214.193471,1619198100000,1619198999999
FORTHBUSD,15m,47.864,53.0,46.384,48.8,4390.829,218257.897714,1619199000000,1619199899999
FORTHBUSD,15m,49.353,51.2,47.3,47.3,2223.027,108481.367798,1619199900000,1619200799999
FORTHBUSD,15m,47.446,48.6,45.863,46.311,1088.291,51014.304127,1619200800000,1619201699999
FORTHBUSD,15m,46.311,48.0,44.451,45.441,2391.425,109042.918129,1619201700000,1619202599999
FORTHBUSD,15m,46.353,47.543,44.343,44.98,1525.736,70317.344052,1619202600000,1619203499999
FORTHBUSD,15m,44.439,45.68,44.078,44.673,513.549,22958.751643,1619203500000,1619204399999
FORTHBUSD,15m,44.673,47.112,44.039,45.715,2101.837,96677.308471,1619204400000,1619205299999
FORTHBUSD,15m,45.259,49.382,45.258,48.15,1243.779,59817.538001,1619205300000,1619206199999
